ID,Name,Parameter,Language,Frequency,Confidence,References
7A-brd,No glottalized consonants,Glottalized Consonants,Bardi,,,Metcalfe 1971
7A-brb,No glottalized consonants,Glottalized Consonants,Bariba,,,Welmers 1952a
7A-bsk,No glottalized consonants,Glottalized Consonants,Bashkir,,,Poppe 1964
7A-bsq,No glottalized consonants,Glottalized Consonants,Basque,,,Saltarelli et al. 1988
7A-bkr,No glottalized consonants,Glottalized Consonants,Batak (Karo),,,Woollams 1996
7A-bto,No glottalized consonants,Glottalized Consonants,Batak (Toba),,,van der Tuuk 1971
7A-baw,No glottalized consonants,Glottalized Consonants,Bawm,,,Reichle 1981
7A-bee,No glottalized consonants,Glottalized Consonants,Beembe,,,Jacquot 1962;Jacquot 1981
7A-bej,No glottalized consonants,Glottalized Consonants,Beja,,,Hudson 1974;Hudson 1976b
7A-bco,Ejectives only,Glottalized Consonants,Bella Coola,,,Nater 1984;Newman 1947
7A-ben,No glottalized consonants,Glottalized Consonants,Bengali,,,Klaiman 1990;Ferguson and Chowdhury 1960
7A-bma,No glottalized consonants,Glottalized Consonants,Berber (Middle Atlas),,,Abdel-Massih 1971;Penchoen 1973b
7A-ber,Ejectives only,Glottalized Consonants,Berta,,,Triulzi et al. 1976a
7A-bet,Implosives only,Glottalized Consonants,Bété,,,Werle and Gbalehi 1976
7A-bir,No glottalized consonants,Glottalized Consonants,Birom,,,Bouquiaux 1970;Wolff 1959
7A-bis,No glottalized consonants,Glottalized Consonants,Bisa,,,Naden 1973
7A-bbf,No glottalized consonants,Glottalized Consonants,Bobo Madaré (Northern),,,Bris and Prost 1981;Morse 1976
7A-bod,No glottalized consonants,Glottalized Consonants,Bodo,,,Bhat 1968
7A-brr,No glottalized consonants,Glottalized Consonants,Bororo,,,Crowell 1979
7A-brh,No glottalized consonants,Glottalized Consonants,Brahui,,,De Armond 1975;Emeneau 1962;Emeneau 1937
7A-bra,Implosives only,Glottalized Consonants,Brao,,,Keller 1976
7A-bre,No glottalized consonants,Glottalized Consonants,Breton,,,Bothorel 1982;Ternes 1970
7A-bri,No glottalized consonants,Glottalized Consonants,Bribri,,,Arroyo 1972
7A-brw,No glottalized consonants,Glottalized Consonants,Bru (Western),,,Thongkum 1979
7A-bul,No glottalized consonants,Glottalized Consonants,Bulgarian,,,Ternes and Vladimirova-Buhtz 1999;Aronson 1968;Bidwell 1968;Klagstad 1958;Scatton 1984
7A-bua,No glottalized consonants,Glottalized Consonants,Burarra,,,Glasgow and Glasgow 1967
7A-brm,No glottalized consonants,Glottalized Consonants,Burmese,,,Watkins 2001;Okell 1969
7A-bur,No glottalized consonants,Glottalized Consonants,Burushaski,,,Morgenstierne 1945;Anderson 1997b
7A-cac,No glottalized consonants,Glottalized Consonants,Cacua,,,Cathcart 1979;Anderton 1989
7A-cad,Ejectives only,Glottalized Consonants,Caddo,,,Chafe 1979;Chafe 1976
7A-cah,No glottalized consonants,Glottalized Consonants,Cahuilla,,,Bright 1965b;Seiler 1977;Sauvel and Munro 1981
7A-cax,No glottalized consonants,Glottalized Consonants,Campa (Axininca),,,Dirks 1953;Payne 1981
7A-cam,No glottalized consonants,Glottalized Consonants,Camsá,,,Howard 1967;Mongui Sanchez 1981;Howard 1972
7A-ckr,No glottalized consonants,Glottalized Consonants,Canela-Krahô,,,Popjes and Popjes 1986
7A-cnt,No glottalized consonants,Glottalized Consonants,Cantonese,,,Zee 1999
7A-car,No glottalized consonants,Glottalized Consonants,Carib,,,Peasgood 1972;Hoff 1968
7A-ctl,No glottalized consonants,Glottalized Consonants,Catalan,,,Carbonell and Llisteri 1999
7A-cay,No glottalized consonants,Glottalized Consonants,Cayapa,,,Lindskoog and Brend 1962
7A-cyv,No glottalized consonants,Glottalized Consonants,Cayuvava,,,Key 1961;Key 1967
7A-cha,No glottalized consonants,Glottalized Consonants,Chamorro,,,Seiden 1960;Topping 1973
7A-chw,Implosives only,Glottalized Consonants,Cham (Western),,,Blood 1967;Edmondson and Gregerson 1993
7A-cso,No glottalized consonants,Glottalized Consonants,Chatino (Sierra Occidental),,,Pride 1965
7A-chl,Ejectives only,Glottalized Consonants,Chehalis (Upper),,,Kinkade 1963
7A-che,No glottalized consonants,Glottalized Consonants,Cherokee,,,Bender and Harris 1946;Cook 1979;Walker 1975b
7A-cck,No glottalized consonants,Glottalized Consonants,Chickasaw,,,Munro et al. 2002;Gordon et al. 2000
7A-cle,No glottalized consonants,Glottalized Consonants,Chinantec (Lealao),,,Rupp 1989;Rupp 1990
7A-chq,Glottalized resonants only,Glottalized Consonants,Chinantec (Quiotepec),,,Robbins 1968;Robbins 1961
7A-cti,Glottalized resonants only,Glottalized Consonants,Chin (Tiddim),,,Henderson 1965
7A-chp,Ejectives only,Glottalized Consonants,Chipewyan,,,Li 1933;Li 1946;Li 1932
7A-cve,No glottalized consonants,Glottalized Consonants,Chuave,,,Thurman 1970
7A-chk,No glottalized consonants,Glottalized Consonants,Chukchi,,,Krause 1980;Skorik 1961;Skorik 1968
7A-chv,No glottalized consonants,Glottalized Consonants,Chuvash,,,Andreev 1966;Krueger 1961
7A-cil,No glottalized consonants,Glottalized Consonants,CiLuba,,,de Schryver 1999
7A-ccp,No glottalized consonants,Glottalized Consonants,Cocopa,,,Crawford 1966
7A-cof,No glottalized consonants,Glottalized Consonants,Cofán,,,Borman 1962
7A-cmn,No glottalized consonants,Glottalized Consonants,Comanche,,,Charney 1993;Wistrand-Robinson and Armagost 1990
7A-coo,Ejectives only,Glottalized Consonants,Coos (Hanis),,,Zenk 1990
7A-cre,No glottalized consonants,Glottalized Consonants,Cree (Plains),,,Dahlstrom 1991;Vinay 1992
7A-cub,No glottalized consonants,Glottalized Consonants,Cubeo,,,Morse and Maxwell 1999b;Salser 1971
7A-dad,No glottalized consonants,Glottalized Consonants,Dadibi,,,MacDonald 1973
7A-dag,No glottalized consonants,Glottalized Consonants,Daga,,,Murane 1974
7A-dgb,No glottalized consonants,Glottalized Consonants,Dagbani,,,Wilson and Bendor-Samuel 1969;Olawsky 1999
